access,accessno,accruals,acqvalue,admin,appnotes,appraisal,appraisor,archivist,archnotes,area,associate,authorx,caption,catby,catdate,cattype,classes,collection,conddate,condexam,condition,condnotes,containtxt,copies,creator,credit,curvalmax,curvalue,custodial,dataset,date,dateaccum,datecreate,descdate,descrip,dispdate,dispositn,dispvalue,earlydate,edition,elongitude,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,extent,findaid,flagdate,flagnotes,flagreason,genre,gparent,group,homeloc,imagefile,imageno,inscomp,insdate,insets,insphone,inspremium,insrep,instrument,insvalue,interviewr,intvdate,intvlength,intvplace,intvrest,invnby,invndate,label,language,latdeg,latedate,legal,level,link,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,media,medium,mlanguage,narrator,narratorid,nlatitude,notes,objectid,objname,objname2,objname3,objnames,oldno,originals,otherno,parent,people,physchar,pmeridian,policyno,projection,pubdate,publisher,pubnotes,pubplace,quantity,recas,recdate,recfrom,refcode,related,relnotes,reviewed,rights,rules,scale,series,sheets,signedform,site,siteno,sitesadded,size,slatitude,status,statusby,statusdate,sterms,subjects,system,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,transcribr,transdate,transloc,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,wlongitude,ppid
,2015.023,,0,,,,,,,,,,2015.023.005,Gaylene J Chapman,2015-09-15,Archive,,June Skauge,2015-09-15,Gaylene J Chapman,Fair,,Office June Skauge File Awards file Attendence awards October 5 1923    Office June Skauge File Awards file Attendence awards November 27 1923    Office June Skauge File Awards file Attendence awards November 2 1923    Office June Skauge File Awards file Attendence awards April 4 1924    Office June Skauge File Awards file Attendence awards May 2 1924    Office June Skauge File Awards file Attendence awards October 24 1924    Office June Skauge File Awards file Attendence awards November 23 1924    Office June Skauge File Awards file Attendence awards May 29 1924    Office June Skauge File Awards file Attendence awards January 30 1925    Office June Skauge File Awards file Attendence awards March 27 1925    Office June Skauge File Awards file Attendence awards November 26 1928    Office June Skauge File Awards file Attendence awards October 26 1928    Office June Skauge File Awards file Attendence awards April 1929    ,,,,0,0,,,11/15/2014,,,,Collection of Attendence Awards received by June Skauge from School District Number 21 Near Hadley Minnesota.  during the 1920's,,,,1923,,,,0,,,,,,,,,,,,,,Museum,006\2015023005.JPG                                          ,13,,,,,,,,0.00,,,,,,,,,,0.000000,1923,,,,,,,0,,,,,,,0.000000,,2015-09-15,,,,,,0,,,2015.023.005,Award,,,,,,,,June Skauge,,,,,,,,,,Gift,,Jacqui Hoffman,,,,,,,,,,,,,,,,09/15/2015,Gaylene J Chapman,2015-09-15,,School District number 21 Hadley Minnesota,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2015-09-15T14:26:43,Unknown,,false,,,C17D6D5D-3DFE-4A4A-8F9A-321885774075
,2015.023,,0,,,,,,,,,,,Gaylene J Chapman,2015-09-15,Archive,,June Skauge,,,,,"Newspaper room        Office June Skoughe file Awards file Invitation to Prom 1932 faded invitation to Prom in 1932 from the Junior class. Some ink in pink and other in blue.  IT reads ""Juniror pirates invite you to sock treasure on the good estand SHS at seven p.m. on the evening of May 7 1932.""    ",,,,0,0,,,11/15/2014,,,,,,,,1932,,,,0,,,,,,,,,,,,,,Museum,,0,,,,,,,,0.00,,,,,,,,,,0,1923,,,,,,,0,,,,,,,0,,2015-09-15,,,,,,0,,,2015.023.006,"Card, Documentary",,,,,,,,,,,,,,,,,,Gift,,Jacqui Hoffman,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2015-09-15T14:48:26,Unknown,,false,,,347345DD-7060-4DB5-9B25-510555417740
,2016.024,,0,,,,,,,,,,2016.024.001,Gaylene J Chapman,2016-06-16,Archive,,,2016-06-16,Gaylene J Chapman,Excellent,,,,,Elaine,0,0,,,06/16/2016,,,,Altar paintings by Sarah Kirkeberg Raughland.  96 pages.  Each page contains picture and history of paintings done by Sarah.  Sarah painted altar paintings in the late 1880's until 1918. ,,,,1862,,,,0,,,,,,,,,,,,,,Museum,011\2016024001.JPG                                          ,2,,,,,,,,0.00,,,,,,,,,,0,1960,,,,,,,0,Catholic booth,,,,,,0,,2016-06-16,,,,,,0,,,2016.024.001,"Book, Record",Scrapbook,,,,,,,"Raugland
Kirkeberg",,,,,,,,,,Donation,,Elaine Ask,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2017-09-13T10:47:12,Unknown,,false,,,D61CFD88-6654-4E0D-B225-851742362000
,2016.037,,0,,,,,,,,,,,Gaylene J Chapman,2016-07-13,Archive,,,2016-07-13,Gaylene J Chapman,Poor,"all document are yellowed and folded up in a roll.  Placed into acid free box on 07/13/2016 and moved to other storage out of office files.  No numbers on documents just filed under one number, so not to unroll each one and cause damage.  ",,,,,0,0,,,07/13/2016,,,,,,,,1890,,,,0,,,,,,,,,,,,,,Museum,,0,,,,,,,,0.00,,,,,,,,,,0,1890,,,,,,,0,Newspaper Room,North wall,,,,murray county Documents 1890,0,,2016-07-13,,,,,,0,,,2016.037.001,Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found in Collections,Gaylene J Chapman,2016-07-13,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-07-13T15:36:30,Unknown,,false,,,DB42093B-841D-4F5B-9513-620033653334
,2016.039,,0,,,,,,,,,,,Gaylene J Chapman,2016-07-29,Archive,,,2016-07-29,Gaylene J Chapman,Fair,,,,,Jim Johnson,0,0,,,07/29/2016,,,,,,,,1956,,,,0,,,,,,,,,,,,,,Museum,,0,,,,,,,,0.00,,,,,,,,,,0,1956,,,,,,,0,Office,,,,Baseball,,0,,2016-07-29,,,,,,0,,,2016.039.001,Constitution,"Document, Scoring",,,,,,,,,,,,,,,,,,,Jim Johnson,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-07-29T14:15:09,Unknown,,false,,,4A513E21-BF9F-44EF-BD42-762115199476
,2016.041,,0,,,,,,,,,,,Gaylene J Chapman,2016-08-12,Archive,,,,,,,,,,,0,0,,,08/12/2016,,,,Life on Mill Street by Frank March.  Mill Street located in Slayton MN. other side of the tracks ,,,,1930,,,,0,,,,,,,,,,,,,,Museum,,0,,,,,,,,0.00,,,,,,,,,,0,1930,,,,,,,0,Office,,Vertical Files,,,March Family File,0,,2016-08-12,,,,,,0,,,2016.041.001,Paper,,,,,,,,"Anderson
Carl
Christiansen
Clock
Divine
Esser
Greenbush
Hungerford
Lowe
march
McCammon
McConnell
Noll
Nyssen
Orvis
Owens
Petersen
Prahm
Rediske
Runnins
Smith
Snyder
Stanley
Stolle
Stumm
Sunshine
Terry
Toner
White",,,,,,,,,,,,,,,,,,,,,,,,,,,,Shared Resourse,Gaylene J Chapman,2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-08-12T15:50:01,Unknown,,false,,,3AA1AC10-F0D6-467E-B55E-224884257011
,2017.124,,0.00,,,,,,,,,,2017.124.001 001,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,Unknown,,,,"Moulton Township Section 18-19. Ariel Quardagle Map, Murray County. Black and White. 89 R in right corner. Year unknown. Photo shows tiling. ",,,,0,,,,0,,,,,,,,,,,,,,Museum,016\2017124001.JPG                                          ,4,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.001,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T15:17:47,Unknown,,false,,,333B8F93-5CE2-4B80-8C27-505853116684
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,Unknown,,,,Section 25 and 26 Ellsborough Township and 30 and 31 of Skandia. ,,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124002.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.002,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-10-03T16:26:24,Unknown,,false,,,DB27F6C7-64E6-4923-8F7A-207911533450
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,Unknown,,,,Moulton Township Section 30-31,,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124003.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.003,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:09:05,Unknown,,false,,,D2C3569E-FF19-4C75-8C72-752093939540
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,Ellsborough Township T108N-R43W and Scandia Township T108N-R42W,,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124004.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.004,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:09:18,Unknown,,false,,,2B8851C5-8BE2-4283-B3CD-832212125018
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Ellsborough Township Section 16, 17, 20, 21. T108N-R436, July 10, 1968 ",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124005.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.005,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:09:27,Unknown,,false,,,A09018BB-A145-4FBD-8D36-200829360163
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Ellsborough Township Section 2, 3, 11, 12. ",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124006.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.006,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:10:22,Unknown,,false,,,0DC77190-08F4-4058-84C6-408326235527
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Murray 2526. Dovary Township Section 30, 31",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124007.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.007,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:11:12,Unknown,,false,,,0848785F-BEC3-49C0-B2A7-233572517000
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Chanarambie Township Section 13, 24. Leeds Township 18, 19",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124008.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.008,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:13:15,Unknown,,false,,,6E01DDEB-4075-4C75-85F3-409319688770
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Leeds Township Section 30, 31 and Chanarambie Township 25, 36",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124009.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.009,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:15:28,Unknown,,false,,,A1DFBBC6-5B33-4446-B4C7-942637319210
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Leeds Township Section 16, 17, 20, 21",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124010.JPG                                          ,3,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.010,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:16:41,Unknown,,false,,,7A42F5C6-AB0C-4A02-AC1B-449698533865
,2017.124,,0.00,,,,,,,,,,Front,,2017-09-28,Map,,,,,,,,,,,0.00,0.00,,,"July 10, 1968",,,,"Leeds Township Section 4, 5, 8, 1",,,,0,,,,0,,,,,,,,,,,,,,Museum,050\2017124011.JPG                                          ,2,,,,,,,,0.00,,,,,,,,,,0.000000,0,,,,,,,0,West wing,West wall,Map Drawers,,1,,0.000000,,2017-09-28,,,,,,0,,,2017.124.011,Photograph,"Survey, Land",,,,,,,,,,,,,,,,,Collected by Staff,,Murray County,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-09-28T16:18:10,Unknown,,false,,,0E00CBB0-0243-4CEA-A623-610826361808
