accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
2004.6,0.00,,,,,,,2004-05-20,,Juanita Wagner,,,Good,,,0,,,0.00,0.00,,unknown-unknown,"1-11 x 8.5""-Title consists of as follows: ""Ancestors and Descendants of William(Billia) Sherman Waites & ""Lucy"" Slone Waites.  (Researched and Compiled by Juanita Smith Wagner, 12103 Millstream Dr.,Bowie, MD).  A white paper book with black plastic binding.  Containing six chapter dividers(marked on right hand side of book) and a table of contents.  Roseau County Historical Society and Museum recieved this in the mail from Juanita Smith Wagner.",Good,0,,,0,,,,,,,,,8: Communication Artifact,Family File Cabinet,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2004-05-20,,,2004.6.1,Book,,,,,,Documentary Artifact,,,,,,,,,04/14/04,Juanita Smith Wagner,,,,Roseau County Historical Society & Museu,,,,OK,,,,Genealogy and Family History,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2015-08-05T13:36:09,Unknown,,false,,D1772ACA-23D5-4A2E-8213-272581262030
2004.19,0.00,,,,,,td,2004-08-30,"Communication Artifacts
Documentary Artifact","Clarice ""Kelly"" Falk",2017-04-26,"Wojahn, Linda",Good,,,0,Bonnie Hughes Falk,,0.00,0.00,,1986,"1 paperback book titled "" Country School Memories"" At the bottom of the book is written ""designed and Compiled by Bonnie Hughes Falk Illustrated by Nancy Delage Huber.  A hand drawn picture of and old country school, with a tree and a fence and yard and out house in the background. On the inside front page is a handwritten note "" For Kelly from Valborg & Toneld""  On the title page under the title "" Country School Memories"" is another handwritten note which reads "" I think you should do something with your own memories!""  The book was copyrighted in 1986 by Bonnie Hughes Falk and this book is of the third reprinting in June of 1987.  The book was in production by Stanton Publication Services, Inc. and printed in the USA. The book contains 87 pages of written material and acknowledgements in the back, and Author bio and an order form on the last page.",Good,0,,country school,0,,,,,,,,,8: Communication Artifact,"Research Rm, Bookshelves, Unit 1, SH 2",2,,,,,,0.00,,,0-9614108-1-7,,,0,0,86-091104,,,,,0,,,,,,,0,,2017-04-26,,"8.5""x5.5"" ",2004.19.2,Book,,,,,,Documentary Artifact,"Falk, Clarice ""Kelly""
Falk, Bonnie (Hughes)
Huber, Nancy (Delage)","5.5"" x 8.5, beigh & browns & black",,,BHF Memories Unlimited,,"White Bear Lake, MN 55110",,08262004,"Falk, Clarice ""Kelly""",,,,RCHS,,,,OK,"Wojahn, Linda",2017-04-26,"book
country
school
memories
stories
one
room
teacher
pupils
wood-burning
stove
ink
well
out-house
lunch
boxes","book
country
school
memories
stories
one
room
teacher
pupils
wood-burning
stove
ink
well
out-house
lunch
boxes",,,,,,,,Country School Memories,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2022-10-18T15:00:50,Unknown,,false,,A48AD0E4-7141-4CAE-8C59-884348581460
2193,0.00,,,,,,,,"Communication artifact
Documentary Artifact",Mike Holm 1950 Collection,,,Fair,,,0,,,0.00,0.00,,Circa 1951,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: Black and white
Marks: None",Fair,0,,,0,,,,,,,,,8: Communication Artifact,"Research RM, MN.Files, H-Z, MN Historical Society,file #2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003","
",2193,Book,,,,,,Documentary Artifact,"Holm, Mike",,, ,,,,Donation,5/12/1952,Mike Holm,,,,RCHS,,,,OK,"Swanson, Edie",2019-08-19,book,book,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2019-08-19T13:02:18,Unknown,,false,,6E7B830E-3C37-4024-B707-288910731891
2197,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Holm Collection,,,Good,,,0,,,0.00,0.00,,1946,"1 paperback book, Brown, black and white, Conference Procedings, National Association of Secretaries of State, Los Angeles, California",Good,0,,,0,,,,,,,,,8: Communication Artifact,"Archive Rm, SH 5A, Box Mike Holm",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003","
",2197,Book,,,,,,Documentary Artifact,Holm Collection,"6"" x 9"" x .25"" paper",, ,The Dixie Press,,"Gulfport, Miss.",Donation,Unknown,"Holm, Mike",,,,RCHS,,,,OK,"Wojahn, Linda",2014-05-20,"book
conference
proceedings
national 
association
secretaries 
state
1946","book
conference
proceedings
national 
association
secretaries 
state
1946",,,,,,,,National Association of Secretaries of State,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-04-29T15:47:47,Unknown,,false,,E4409AD4-36C1-4F90-8926-573621611152
2209,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Sigfrus Olafson,2016-12-28,"Swanson, Edie",Fair,,,0,,,0.00,0.00,,Circa 1940,"Category: 5 -Communication Artifacts
1 English Dictionary
Sub-category: Documentary Artifact
Color: Brown, white and black
Marks: The Royal Standard Dictionary by William Perry Published by Thomas Andrews West and Blake Elien and Clark and Joh West and Co.",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, Sh 23A, Box 2",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-28,"Object is marked and has a category card.
object inventoried 2003","
",2209,Book,,,,,,Documentary Artifact,"Olafson, Sigfus",,, ,,,,Donation,5/4/1973,Sigfrus Olafson,,,,RCHS,,,,OK,"Swanson, Edie",2016-12-28,"book
dictionary","book
dictionary",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-12T12:39:49,,,false,,B36DCAF5-180B-43BB-B3AC-536224551541
2210,0.00,,,,,,,,,Unknown,,,Fair,,,0,,,0.00,0.00,,Circa 1915,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: Red, yellow, white and black
Marks: The Phillistines a periodical of protest. The climax coffee and Baking poweder Co. Harry B. Gates Pres. 90 South Davidson, St. Indianpolis, Ind March 1915, Ye Olde China Shoppe Pulic Notice, ""This the Bull Outside""",,0,,,0,,,,,,,,,8: Communication Artifact,Backroom SH 1A,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003","
",2210,Book,,,,,,Documentary Artifact,,,, ,,,,Donation,Unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2009-10-16T15:59:26,Unknown,,false,,246B9F3C-FC24-4000-8949-135507777270
2212,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Unknown,2018-07-09,"Swanson, Edie",Good,,,0,,,0.00,0.00,,Circa 1970,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: Blue, green
Marks: Prepared by consumer and Food Economics Research Div. of Agriculture Research Div. Washington, D.C. Revised Aug. 1970. Nutritine Value of Foods",,0,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Roseau County Files, Agriculture",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2018-07-09,"Object is marked and has a category card.
object inventoried 2003","
",2212,Book,,,,,,Documentary Artifact,Unknown,,, ,,,,Donation,Unknown,Unknown,,,,RCHS,,,,OK,"Swanson, Edie",2018-07-09,"book
booklet
nutrititive 
values
food","book
booklet
nutrititive 
values
food",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2018-07-09T09:33:02,Unknown,,false,,EC4259F8-7614-432B-A516-922423996830
2214,0.00,,,,,,,,,Unknown,,,Good,,,0,,,0.00,0.00,,Circa 1926,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: Gray, red, black and white
Marks: 	 Spine and cover McGRAW-HILL Radio Trade Catalog, cover only Succeeding The Radio Trade Directory
Copyright 1926",,0,,,0,,,,,,,,,8: Communication Artifact,Catalog research file cabinet,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003","
",2214,Book,,,,,,Documentary Artifact,,,, ,,,,Donation,Unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2009-10-16T16:00:19,Unknown,,false,,7D16C215-0E18-473E-BC6C-083097891168
2217,0.00,,,,,,,,,Unknown,,,Stable,,,0,,,0.00,0.00,,Circa 1928,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: Blue, white, black and gold
Marks: The National Association of State Auditors and Comptrollers and Treasurers. 1928.",,0,,,0,,,,,,,,,8: Communication Artifact,"Backroom, SH 6A",0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003","
",2217,Book,,,,,,Documentary Artifact,,,, ,,,,Donation,Unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2009-10-16T16:00:54,Unknown,,false,,C0551265-3D0F-4973-B7A8-238284475522
2218,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Emma Erickson,2018-01-09,"Swanson, Edie",fair,,,0,,,0.00,0.00,,Circa 1975,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: Black and white
Marks: ""Old Time Comics"" by Tower Press, Inc. 2 issues, Summer, 1975 and Fall, 1975",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, Wooden Cupboard, Drawer # 10",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2018-01-09,"Object is marked and has a category card.
object inventoried 2003","
",2218,Book,,,,,,Documentary Artifact,"Erickson, Albin & Emma (Mostol)",,, ,,,,Donation,Unknown,"Erickson, Albin & Emma (Mostol)",,,,RCHS,,,,OK,"Swanson, Edie",2018-01-09,"book
comics","book
comics",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2021-03-10T16:22:11,Unknown,,false,,F2DFC58A-8CD5-4828-9F26-362475191686
2226,0.00,,,,,,,,"Communication Artifact
Advertising Medium",Mark Mekash,2018-05-02,"Swanson, Edie",Poor,,,0,,,0.00,0.00,,Circa 1941,"Category: 5 -Communication Artifacts
Sub-category: Advertising Medium
Color: Black and white
Marks: The Sears Roebuck Catalog 1941",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 19A",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2018-05-02,"Object is marked and has a category card.
object inventoried 2003","
",2226,Book,,,,,,Documentary Artifact,"Mekash, Mark",,, ,,,,Donation,7/1973,Mark Mekash,,,,RCHS,,,,OK,"Swanson, Edie",2018-05-02,"catalog
mail-order
Sears","catalog
mail-order
Sears",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2018-06-04T10:20:17,Unknown,,false,,2FC4B31C-0AEB-48FE-8EBE-407584725901
2010.1,0.00,,,,,,Britt Dahl,2010-01-12,"Book
Fire",RCHS,,,,,,0,Harl A. Dalstrom & Kay Calame Dalstrom,,0.00,0.00,,2009,"The October 1938 forest fire and the last frontier in the Rainy River-Lake of the Woods borderland.

From the back cover; ""October 10, 1938 was Canada's Thanksgiving Day, but that warm and windy Monday brought the horror of forest fire to the Ontario-Minnesota Rainy border. Seventeen people in Dance Township, Ontario, lost their lives as did one man in International Falls, Minnesota. In addition to telling a story of disaster and near disaster, the authors examine what life was like for settlers on one of North America's last frontiers.""  
",,0,,,0,,,,,,,,,8: Communication Artifact,"Research Rm Book Case 1, Shelf-2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2010-01-12,,,2010.1.2,book,,,,,,Documentary Artifact,,"6"" x 9"" softcovered bound book, the cover is black with a picture of a fire burning high in the sky and burnt tree sillohettes. The title is on the front  and the authors. On the back is a desciption of the book and about the authors along with a picture of Dance township.

This is a signed copy",,,Rainy River District Women's Institute Museum,,"Emo, Ontario",Collected by Staff,01/07/2010,Roseau County Historical Society & Museum,,,,,,,"""We were not worried at Dinner Time""",On Loan,Britt Dahl,2010-01-12,"Ontario
Fire
Rainy River
Border",The October 1938 forest fire and the last frontier in the Rainy River-Lake of the Woods borderland.,,,,,,,,"""We were not worried at Dinner Time""",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2019-12-12T12:34:03,Unknown,,false,,C7C5CFC8-1369-474C-912F-882226286414
